09:53:19.406758 IP 192.168.2.2.59877 > 192.168.2.11.1234: UDP, length 1316
09:53:19.966824 IP 192.168.2.2.59877 > 192.168.2.11.1234: UDP, length 1316
09:53:19.966855 IP 192.168.2.2.59877 > 192.168.2.11.1234: UDP, length 1316
09:53:19.970696 IP 192.168.2.2.59877 > 192.168.2.11.1234: UDP, length 1316
09:53:19.970759 IP 192.168.2.2.59877 > 192.168.2.11.1234: UDP, length 1316
09:53:19.970793 IP 192.168.2.2.59877 > 192.168.2.11.1234: UDP, length 1316
09:53:19.970826 IP 192.168.2.2.59877 > 192.168.2.11.1234: UDP, length 1316
09:53:19.970856 IP 192.168.2.2.59877 > 192.168.2.11.1234: UDP, length 1316
09:53:19.970887 IP 192.168.2.2.59877 > 192.168.2.11.1234: UDP, length 1316
09:53:19.974652 IP 192.168.2.2.59877 > 192.168.2.11.1234: UDP, length 1316
09:53:19.974708 IP 192.168.2.2.59877 > 192.168.2.11.1234: UDP, length 1316
09:53:19.974741 IP 192.168.2.2.59877 > 192.168.2.11.1234: UDP, length 1316
09:53:19.974771 IP 192.168.2.2.59877 > 192.168.2.11.1234: UDP, length 1316
09:53:19.974802 IP 192.168.2.2.59877 > 192.168.2.11.1234: UDP, length 1316
09:53:19.974834 IP 192.168.2.2.59877 > 192.168.2.11.1234: UDP, length 1316
09:53:20.050680 IP 192.168.2.2.59877 > 192.168.2.11.1234: UDP, length 1316
09:53:20.050761 IP 192.168.2.2.59877 > 192.168.2.11.1234: UDP, length 1316
09:53:20.050799 IP 192.168.2.2.59877 > 192.168.2.11.1234: UDP, length 1316
09:53:20.050835 IP 192.168.2.2.59877 > 192.168.2.11.1234: UDP, length 1316
09:53:20.050869 IP 192.168.2.2.59877 > 192.168.2.11.1234: UDP, length 1316
09:53:20.050901 IP 192.168.2.2.59877 > 192.168.2.11.1234: UDP, length 1316
^C
C:\Documents and Settings\907175>adb shell
root@android:/ # logcat -s MonitorCw880 &
logcat -s MonitorCw880 &
[1] 9167
root@android:/ # --------- beginning of /dev/log/system
--------- beginning of /dev/log/main
D/MonitorCw880( 9126): MonitorCw880 OnCreat
I/MonitorCw880( 9126): SystemPropertiesClass:class android.os.SystemProperties
W/MonitorCw880( 9126): ~~~~~~~~~~~~~~~~~~~~~~method:public static java.lang.Stri
ng android.os.SystemProperties.get(java.lang.String,java.lang.String)
W/MonitorCw880( 9126): getProperties sys.cw880.ready return value:true
D/MonitorCw880( 9126): CW880Boot() -> cw880Ready=true
I/MonitorCw880( 9126): easybusAttach success !
I/MonitorCw880( 9126): easyscreen -> easybusInterest success !
D/MonitorCw880( 9126): MonitorCw880 OnStart
I/MonitorCw880( 9126): easyheartbeat -> easybusInterest success !
I/MonitorCw880( 9126): SystemPropertiesClass:class android.os.SystemProperties
W/MonitorCw880( 9126): ~~~~~~~~~~~~~~~~~~~~~~method:public static java.lang.Stri
ng android.os.SystemProperties.get(java.lang.String,java.lang.String)
W/MonitorCw880( 9126): getProperties persist.sys.resolution return value:2
D/MonitorCw880( 9126): getProperties -> persist.sys.resolution=2
I/MonitorCw880( 9126): ====mDisplaymode = 1
D/MonitorCw880( 9126): handleHandshake() -> recevice action=handshake
I/MonitorCw880( 9126): SystemPropertiesClass:class android.os.SystemProperties
W/MonitorCw880( 9126): ~~~~~~~~~~~~~~~~~~~~~~method:public static java.lang.Stri
ng android.os.SystemProperties.get(java.lang.String,java.lang.String)
W/MonitorCw880( 9126): getProperties sys.cw880.ready return value:true
D/MonitorCw880( 9126): handleHandshake() -> Cw880BootState is cw880_reboot_compl
eted
D/MonitorCw880( 9126): cw880 is streaming And cw880 is startuped -> StopCw880()
return=7
W/MonitorCw880( 9126): setCw880CommunicateType()=1, return=6
W/MonitorCw880( 9126): StartCw880() -> result=6
D/MonitorCw880( 9126): handleHandshake() -> easybusMsgOld is empty,new object.
D/MonitorCw880( 9126): =========will to handle request=handshake
D/MonitorCw880( 9126): return action=handshake result= success
D/MonitorCw880( 9126):  send result -> 192.168.2.5:43934 msgType= easyscreen, ms
gData=action=handshake&result=success&playurl=mmkhttp://192.168.2.2:1234&video=n
ull&audio=null&protocol=http&transfermode=unicast&streamformat=ts&resolution=720
p&videobitrate=1536&version=1
I/MonitorCw880( 9126): SystemPropertiesClass:class android.os.SystemProperties
W/MonitorCw880( 9126): ~~~~~~~~~~~~~~~~~~~~~~method:public static java.lang.Stri
ng android.os.SystemProperties.get(java.lang.String,java.lang.String)
W/MonitorCw880( 9126): getProperties persist.sys.resolution return value:2
D/MonitorCw880( 9126): getProperties -> persist.sys.resolution=2
I/MonitorCw880( 9126): ====mDisplaymode = 1
D/MonitorCw880( 9126): handleStart() -> recevice action=start
I/MonitorCw880( 9126): SystemPropertiesClass:class android.os.SystemProperties
W/MonitorCw880( 9126): ~~~~~~~~~~~~~~~~~~~~~~method:public static java.lang.Stri
ng android.os.SystemProperties.get(java.lang.String,java.lang.String)
W/MonitorCw880( 9126): getProperties sys.cw880.ready return value:true
D/MonitorCw880( 9126): =========will to handle request=start
D/MonitorCw880( 9126): return action=start result= success
D/MonitorCw880( 9126):  send result -> 192.168.2.5:43934 msgType= easyscreen, ms
gData=action=start&result=success
D/MonitorCw880( 9126): counter=4 && isHeartbeatTimeout=false
D/MonitorCw880( 9126): counter=6 && isHeartbeatTimeout=false
D/MonitorCw880( 9126): counter=8 && isHeartbeatTimeout=false
D/MonitorCw880( 9126): counter=10 && isHeartbeatTimeout=false
D/MonitorCw880( 9126): counter=12 && isHeartbeatTimeout=false
D/MonitorCw880( 9126): counter=4 && isHeartbeatTimeout=false
I/MonitorCw880( 9126): SystemPropertiesClass:class android.os.SystemProperties
W/MonitorCw880( 9126): ~~~~~~~~~~~~~~~~~~~~~~method:public static java.lang.Stri
ng android.os.SystemProperties.get(java.lang.String,java.lang.String)
W/MonitorCw880( 9126): getProperties persist.sys.resolution return value:2
D/MonitorCw880( 9126): getProperties -> persist.sys.resolution=2
I/MonitorCw880( 9126): ====mDisplaymode = 1
D/MonitorCw880( 9126): handleStop() -> recevice action=stop
W/MonitorCw880( 9126): action=Stop result=7,currentRemoteHost=null mip=192.168.2
.5
D/MonitorCw880( 9126): =========will to handle request=stop
D/MonitorCw880( 9126): return action=stop result= success
D/MonitorCw880( 9126):  send result -> 192.168.2.5:43934 msgType= easyscreen, ms
gData=action=stop&result=success


root@android:/ #

root@android:/ #

root@android:/ # logcat -s MonitorCw880 &
logcat -s MonitorCw880 &
[2] 9222
root@android:/ # --------- beginning of /dev/log/system
--------- beginning of /dev/log/main
I/MonitorCw880( 9126): SystemPropertiesClass:class android.os.SystemProperties
W/MonitorCw880( 9126): ~~~~~~~~~~~~~~~~~~~~~~method:public static java.lang.Stri
ng android.os.SystemProperties.get(java.lang.String,java.lang.String)
W/MonitorCw880( 9126): getProperties persist.sys.resolution return value:2
D/MonitorCw880( 9126): getProperties -> persist.sys.resolution=2
I/MonitorCw880( 9126): ====mDisplaymode = 1
D/MonitorCw880( 9126): handleHandshake() -> recevice action=handshake
I/MonitorCw880( 9126): SystemPropertiesClass:class android.os.SystemProperties
W/MonitorCw880( 9126): ~~~~~~~~~~~~~~~~~~~~~~method:public static java.lang.Stri
ng android.os.SystemProperties.get(java.lang.String,java.lang.String)
W/MonitorCw880( 9126): getProperties sys.cw880.ready return value:true
D/MonitorCw880( 9126): handleHandshake() -> Cw880BootState is cw880_reboot_compl
eted
D/MonitorCw880( 9126): cw880 is streaming And cw880 is startuped -> StopCw880()
return=7
W/MonitorCw880( 9126): setCw880CommunicateType()=1, return=6
W/MonitorCw880( 9126): StartCw880() -> result=6
D/MonitorCw880( 9126): handleHandshake() -> easybusMsgOld is empty,new object.
D/MonitorCw880( 9126): =========will to handle request=handshake
D/MonitorCw880( 9126): return action=handshake result= success
D/MonitorCw880( 9126):  send result -> 192.168.2.5:43934 msgType= easyscreen, ms
gData=action=handshake&result=success&playurl=mmkhttp://192.168.2.2:1234&video=n
ull&audio=null&protocol=http&transfermode=unicast&streamformat=ts&resolution=720
p&videobitrate=1536&version=1
I/MonitorCw880( 9126): SystemPropertiesClass:class android.os.SystemProperties
W/MonitorCw880( 9126): ~~~~~~~~~~~~~~~~~~~~~~method:public static java.lang.Stri
ng android.os.SystemProperties.get(java.lang.String,java.lang.String)
W/MonitorCw880( 9126): getProperties persist.sys.resolution return value:2
D/MonitorCw880( 9126): getProperties -> persist.sys.resolution=2
I/MonitorCw880( 9126): ====mDisplaymode = 1
D/MonitorCw880( 9126): handleStart() -> recevice action=start
I/MonitorCw880( 9126): SystemPropertiesClass:class android.os.SystemProperties
W/MonitorCw880( 9126): ~~~~~~~~~~~~~~~~~~~~~~method:public static java.lang.Stri
ng android.os.SystemProperties.get(java.lang.String,java.lang.String)
W/MonitorCw880( 9126): getProperties sys.cw880.ready return value:true
D/MonitorCw880( 9126): =========will to handle request=start
D/MonitorCw880( 9126): return action=start result= success
D/MonitorCw880( 9126):  send result -> 192.168.2.5:43934 msgType= easyscreen, ms
gData=action=start&result=success
D/MonitorCw880( 9126): counter=4 && isHeartbeatTimeout=false
D/MonitorCw880( 9126): counter=6 && isHeartbeatTimeout=false
D/MonitorCw880( 9126): counter=8 && isHeartbeatTimeout=false
D/MonitorCw880( 9126): counter=10 && isHeartbeatTimeout=false
D/MonitorCw880( 9126): counter=12 && isHeartbeatTimeout=false
D/MonitorCw880( 9126): counter=4 && isHeartbeatTimeout=false
I/MonitorCw880( 9126): SystemPropertiesClass:class android.os.SystemProperties
W/MonitorCw880( 9126): ~~~~~~~~~~~~~~~~~~~~~~method:public static java.lang.Stri
ng android.os.SystemProperties.get(java.lang.String,java.lang.String)
W/MonitorCw880( 9126): getProperties persist.sys.resolution return value:2
D/MonitorCw880( 9126): getProperties -> persist.sys.resolution=2
I/MonitorCw880( 9126): ====mDisplaymode = 1
D/MonitorCw880( 9126): handleStop() -> recevice action=stop
W/MonitorCw880( 9126): action=Stop result=7,currentRemoteHost=null mip=192.168.2
.5
D/MonitorCw880( 9126): =========will to handle request=stop
D/MonitorCw880( 9126): return action=stop result= success
D/MonitorCw880( 9126):  send result -> 192.168.2.5:43934 msgType= easyscreen, ms
gData=action=stop&result=success
